Time(ns),ComponentType,ComponentID,EventType,Value
615000.00,PE,0,IDLE,0.62
616000.00,PE,0,IDLE,0.62
617000.00,PE,0,IDLE,0.62
618000.00,PE,0,IDLE,0.62
619000.00,PE,0,IDLE,0.62
620000.00,PE,0,IDLE,0.62
621000.00,PE,0,IDLE,0.62
622000.00,PE,0,IDLE,0.62
623000.00,PE,0,IDLE,0.62
624000.00,PE,0,IDLE,0.62
625000.00,PE,0,IDLE,0.62
626000.00,PE,0,IDLE,0.62
627000.00,PE,0,IDLE,0.62
628000.00,PE,0,IDLE,0.62
629000.00,PE,0,IDLE,0.62
630000.00,PE,0,IDLE,0.62
631000.00,PE,0,IDLE,0.62
632000.00,PE,0,IDLE,0.62
633000.00,PE,0,IDLE,0.62
634000.00,PE,0,IDLE,0.62
635000.00,PE,0,IDLE,0.62
636000.00,PE,0,IDLE,0.62
637000.00,PE,0,IDLE,0.62
638000.00,PE,0,IDLE,0.62
639000.00,PE,0,IDLE,0.62
640000.00,PE,0,IDLE,0.62
641000.00,PE,0,IDLE,0.62
642000.00,PE,0,IDLE,0.62
643000.00,PE,0,IDLE,0.62
644000.00,PE,0,IDLE,0.62
645000.00,PE,0,IDLE,0.62
646000.00,PE,0,IDLE,0.62
647000.00,PE,0,IDLE,0.62
648000.00,PE,0,IDLE,0.62
649000.00,PE,0,IDLE,0.62
650000.00,PE,0,IDLE,0.62
651000.00,PE,0,IDLE,0.62
652000.00,PE,0,IDLE,0.62
653000.00,PE,0,IDLE,0.62
654000.00,PE,0,IDLE,0.62
655000.00,PE,0,IDLE,0.62
656000.00,PE,0,IDLE,0.62
657000.00,PE,0,IDLE,0.62
658000.00,PE,0,IDLE,0.62
659000.00,PE,0,IDLE,0.62
660000.00,PE,0,IDLE,0.62
661000.00,PE,0,IDLE,0.62
662000.00,PE,0,IDLE,0.62
663000.00,PE,0,IDLE,0.62
664000.00,PE,0,IDLE,0.62
665000.00,PE,0,IDLE,0.62
666000.00,PE,0,IDLE,0.62
667000.00,PE,0,IDLE,0.62
668000.00,PE,0,IDLE,0.62
669000.00,PE,0,IDLE,0.62
670000.00,PE,0,IDLE,0.62
671000.00,PE,0,IDLE,0.62
672000.00,PE,0,IDLE,0.62
673000.00,PE,0,IDLE,0.62
674000.00,PE,0,IDLE,0.62
675000.00,PE,0,IDLE,0.62
676000.00,PE,0,IDLE,0.62
677000.00,PE,0,IDLE,0.62
678000.00,PE,0,IDLE,0.62
679000.00,PE,0,IDLE,0.62
680000.00,PE,0,IDLE,0.62
681000.00,PE,0,IDLE,0.62
682000.00,PE,0,IDLE,0.62
683000.00,PE,0,IDLE,0.62
684000.00,PE,0,IDLE,0.62
685000.00,PE,0,IDLE,0.62
686000.00,PE,0,IDLE,0.62
687000.00,PE,0,IDLE,0.62
688000.00,PE,0,IDLE,0.62
689000.00,PE,0,IDLE,0.62
690000.00,PE,0,IDLE,0.62
691000.00,PE,0,IDLE,0.62
692000.00,PE,0,IDLE,0.62
693000.00,PE,0,IDLE,0.62
694000.00,PE,0,IDLE,0.62
695000.00,PE,0,IDLE,0.62
696000.00,PE,0,IDLE,0.62
697000.00,PE,0,IDLE,0.62
698000.00,PE,0,IDLE,0.62
699000.00,PE,0,IDLE,0.62
700000.00,PE,0,IDLE,0.62
701000.00,PE,0,IDLE,0.62
702000.00,PE,0,IDLE,0.62
703000.00,PE,0,IDLE,0.62
704000.00,PE,0,IDLE,0.62
705000.00,PE,0,IDLE,0.62
706000.00,PE,0,IDLE,0.62
707000.00,PE,0,IDLE,0.62
